#module	kind	subject	java_says	hand_port_says	evidence	status	spelling	decided_by
sge-ecs	addition	IntervalIteratingSystem#family	not present	val family/0 in reference port only	Renames: `com.badlogic.ashley.systems` -> `sge.ecs.systems`|Convention: split packages|Idiom: Nullable for entities field (set on addedToEngine)	unjustified	none: hand-port defect	div-mutability
sge-ecs	addition	IntervalIteratingSystem#getEntities	not present	def getEntities/0 in reference port only [rename candidates: endProcessing, entities, family, startProcessing, updateInterval]	Renames: `com.badlogic.ashley.systems` -> `sge.ecs.systems`|Convention: split packages|Idiom: Nullable for entities field (set on addedToEngine)	open		
sge-ecs	addition	IntervalSystem#interval	not present	val interval/0 in reference port only	Renames: `com.badlogic.ashley.systems` -> `sge.ecs.systems`|Convention: split packages	unjustified	none: hand-port defect	div-mutability
sge-ecs	addition	IteratingSystem#family	not present	val family/0 in reference port only	Renames: `com.badlogic.ashley.systems` -> `sge.ecs.systems`|Convention: split packages|Idiom: Nullable for entities field (cleared on removedFromEngine)	unjustified	none: hand-port defect	div-mutability
sge-ecs	addition	IteratingSystem#getEntities	not present	def getEntities/0 in reference port only [rename candidates: endProcessing, entities, family, startProcessing]	Renames: `com.badlogic.ashley.systems` -> `sge.ecs.systems`|Convention: split packages|Idiom: Nullable for entities field (cleared on removedFromEngine)	open		
sge-ecs	addition	PooledEngine#factory	not present	val factory/0 in reference port only [rename candidates: removed]	Renames: `com.badlogic.ashley.core` -> `sge.ecs`|Convention: split packages|Idiom: sge.utils.Pool trait instead of LibGDX Pool/ReflectionPool|Idiom: factory registry approach instead of ReflectionPool for components|Idiom: direct getDeclaredConstructor().newInstance() as reflection fallback|Idiom: HashMap[Class[?], Pool[?]] for component pools|Idiom: PooledEntity is a private inner class extending Entity and Pool.Poolable	justified	(c) library-specific injection	div-pooledengine
sge-ecs	addition	PooledEngine#initialCapacity	not present	val initialCapacity/0 in reference port only [rename candidates: removed]	Renames: `com.badlogic.ashley.core` -> `sge.ecs`|Convention: split packages|Idiom: sge.utils.Pool trait instead of LibGDX Pool/ReflectionPool|Idiom: factory registry approach instead of ReflectionPool for components|Idiom: direct getDeclaredConstructor().newInstance() as reflection fallback|Idiom: HashMap[Class[?], Pool[?]] for component pools|Idiom: PooledEntity is a private inner class extending Entity and Pool.Poolable	not-a-divergence	none: census artefact — Pool class-to-trait override	divergence-investigator
sge-ecs	addition	PooledEngine#initialCapacity	not present	val initialCapacity/0 in reference port only [rename candidates: removed]	Renames: `com.badlogic.ashley.core` -> `sge.ecs`|Convention: split packages|Idiom: sge.utils.Pool trait instead of LibGDX Pool/ReflectionPool|Idiom: factory registry approach instead of ReflectionPool for components|Idiom: direct getDeclaredConstructor().newInstance() as reflection fallback|Idiom: HashMap[Class[?], Pool[?]] for component pools|Idiom: PooledEntity is a private inner class extending Entity and Pool.Poolable	not-a-divergence	none: census artefact — Pool class-to-trait override	divergence-investigator
sge-ecs	addition	PooledEngine#max	not present	val max/0 in reference port only [rename candidates: removed]	Renames: `com.badlogic.ashley.core` -> `sge.ecs`|Convention: split packages|Idiom: sge.utils.Pool trait instead of LibGDX Pool/ReflectionPool|Idiom: factory registry approach instead of ReflectionPool for components|Idiom: direct getDeclaredConstructor().newInstance() as reflection fallback|Idiom: HashMap[Class[?], Pool[?]] for component pools|Idiom: PooledEntity is a private inner class extending Entity and Pool.Poolable	not-a-divergence	none: census artefact — Pool class-to-trait override	divergence-investigator
sge-ecs	addition	PooledEngine#max	not present	val max/0 in reference port only [rename candidates: removed]	Renames: `com.badlogic.ashley.core` -> `sge.ecs`|Convention: split packages|Idiom: sge.utils.Pool trait instead of LibGDX Pool/ReflectionPool|Idiom: factory registry approach instead of ReflectionPool for components|Idiom: direct getDeclaredConstructor().newInstance() as reflection fallback|Idiom: HashMap[Class[?], Pool[?]] for component pools|Idiom: PooledEntity is a private inner class extending Entity and Pool.Poolable	not-a-divergence	none: census artefact — Pool class-to-trait override	divergence-investigator
sge-ecs	addition	SortedIteratingSystem#family	not present	val family/0 in reference port only	Renames: `com.badlogic.ashley.systems` -> `sge.ecs.systems`|Convention: split packages|Idiom: ArrayBuffer instead of Array for sorted entities|Idiom: Ordering[Entity] instead of Comparator[Entity]|Idiom: ImmutableArray wrapping sorted buffer|Idiom: implements EntityListener for add/remove detection	unjustified	none: hand-port defect	div-mutability
sge-ecs	addition	SortedIteratingSystem#getEntities	not present	def getEntities/0 in reference port only [rename candidates: endProcessing, entities, family, forceSort, startProcessing]	Renames: `com.badlogic.ashley.systems` -> `sge.ecs.systems`|Convention: split packages|Idiom: ArrayBuffer instead of Array for sorted entities|Idiom: Ordering[Entity] instead of Comparator[Entity]|Idiom: ImmutableArray wrapping sorted buffer|Idiom: implements EntityListener for add/remove detection	open		
sge-ecs	addition	SortedIteratingSystem#sorted	not present	val sorted/0 in reference port only	Renames: `com.badlogic.ashley.systems` -> `sge.ecs.systems`|Convention: split packages|Idiom: ArrayBuffer instead of Array for sorted entities|Idiom: Ordering[Entity] instead of Comparator[Entity]|Idiom: ImmutableArray wrapping sorted buffer|Idiom: implements EntityListener for add/remove detection	justified	consequence of collection replacement	div-sortediterating
sge-ecs	addition	SystemListener#systemAdded	not present	def systemAdded/1 in reference port only		not-a-divergence	census artefact	div-systemlistener
sge-ecs	addition	SystemListener#systemRemoved	not present	def systemRemoved/1 in reference port only		not-a-divergence	census artefact	div-systemlistener
sge-ecs	addition	Type#Add	not present	case Add/0 in reference port only		not-a-divergence	census artefact	div-componentophandler
sge-ecs	addition	Type#Add	not present	case Add/0 in reference port only		not-a-divergence	census artefact	div-componentophandler
sge-ecs	addition	Type#Remove	not present	case Remove/0 in reference port only		not-a-divergence	census artefact	div-componentophandler
sge-ecs	addition	Type#Remove	not present	case Remove/0 in reference port only		not-a-divergence	census artefact	div-componentophandler
sge-ecs	addition	Type#RemoveAll	not present	case RemoveAll/0 in reference port only		not-a-divergence	census artefact	div-entitymanager
sge-ecs	api	#entitiesInFamily				unjustified	none: hand-port defect	div-mutability
sge-ecs	api	Entity#componentAdded	kind differs: emitted var, reference val	kind differs: emitted var, reference val	Renames: `com.badlogic.ashley.core` -> `sge.ecs`|Convention: split packages|Idiom: mutable.BitSet instead of Bits|Idiom: ArrayBuffer instead of Array for componentsArray|Idiom: Bag uses raw null internally (private[ecs])|Idiom: Nullable[A] in public getComponent return type	not-a-divergence	mechanical port defect (drops final)	div-mutability
sge-ecs	api	Entity#componentRemoved	kind differs: emitted var, reference val	kind differs: emitted var, reference val	Renames: `com.badlogic.ashley.core` -> `sge.ecs`|Convention: split packages|Idiom: mutable.BitSet instead of Bits|Idiom: ArrayBuffer instead of Array for componentsArray|Idiom: Bag uses raw null internally (private[ecs])|Idiom: Nullable[A] in public getComponent return type	not-a-divergence	mechanical port defect (drops final)	div-mutability
sge-ecs	api	EntitySystem#getEngine	def getEngine/0 in emitted port only	def getEngine/0 in emitted port only	Renames: `com.badlogic.ashley.core` -> `sge.ecs`|Convention: split packages|Idiom: Nullable[Engine] for engine reference (set/cleared by Engine)|Idiom: processing as public var (replaces get/set pair)	justified	(b) BeanCollapse idiom phase	div-accessor
sge-ecs	api	EntitySystem#priority	kind differs: emitted var, reference val	kind differs: emitted var, reference val	Renames: `com.badlogic.ashley.core` -> `sge.ecs`|Convention: split packages|Idiom: Nullable[Engine] for engine reference (set/cleared by Engine)|Idiom: processing as public var (replaces get/set pair)	unjustified	none: hand-port defect	div-mutability
sge-ecs	api	EntitySystem#setProcessing	def setProcessing/1 in emitted port only	def setProcessing/1 in emitted port only	Renames: `com.badlogic.ashley.core` -> `sge.ecs`|Convention: split packages|Idiom: Nullable[Engine] for engine reference (set/cleared by Engine)|Idiom: processing as public var (replaces get/set pair)	justified	(b) BeanCollapse idiom phase	div-accessor
sge-ecs	omission	#Bag		not present (skipped or redesigned)		not-a-divergence	census artefact	div-bag
sge-ecs	omission	#ComponentFactories		not present (skipped or redesigned)		justified	(c) library-specific injection (already implemented)	div-componentfactories
sge-ecs	omission	#ComponentOperationHandler		not present (skipped or redesigned)		justified	(b) inner class reorganization	div-componentophandler
sge-ecs	omission	#ComponentPool		not present (skipped or redesigned)		justified	(c) library-specific injection	div-pooledengine
sge-ecs	omission	#Engine		not present (skipped or redesigned)		justified	(b) SAM-to-function-type + inner class elimination	div-engine-companion
sge-ecs	omission	#EntityManager		not present (skipped or redesigned)		unjustified	none: hand-port defect	div-entitymanager
sge-ecs	omission	#FamilyManager		not present (skipped or redesigned)		unjustified	none: hand-port defect	div-familymanager
sge-ecs	omission	#PooledEngine		not present (skipped or redesigned)		justified	(c) library-specific injection	div-pooledengine
sge-ecs	omission	#SystemManager		not present (skipped or redesigned)		justified	(b) convention-driven	div-systemmanager
sge-ecs	omission	#delayed		not present (skipped or redesigned)		not-a-divergence	census artefact	div-internal-fields
sge-ecs	omission	#notifying$field		not present (skipped or redesigned)		not-a-divergence	census artefact	div-internal-fields
sge-ecs	omission	Bag#add	def add/1 in emitted port only	not present (skipped or redesigned)	Renames: `com.badlogic.ashley.utils` -> `sge.ecs.utils`|Convention: split packages|Idiom: raw null OK in internal sparse array	not-a-divergence	census artefact	div-bag
sge-ecs	omission	Bag#clear	def clear/0 in emitted port only	not present (skipped or redesigned)	Renames: `com.badlogic.ashley.utils` -> `sge.ecs.utils`|Convention: split packages|Idiom: raw null OK in internal sparse array	not-a-divergence	census artefact	div-bag
sge-ecs	omission	Bag#contains	def contains/1 in emitted port only	not present (skipped or redesigned)	Renames: `com.badlogic.ashley.utils` -> `sge.ecs.utils`|Convention: split packages|Idiom: raw null OK in internal sparse array	not-a-divergence	census artefact	div-bag
sge-ecs	omission	Bag#data	var data/0 in emitted port only	not present (skipped or redesigned)	Renames: `com.badlogic.ashley.utils` -> `sge.ecs.utils`|Convention: split packages|Idiom: raw null OK in internal sparse array	not-a-divergence	census artefact	div-bag
sge-ecs	omission	Bag#get	def get/1 in emitted port only	not present (skipped or redesigned)	Renames: `com.badlogic.ashley.utils` -> `sge.ecs.utils`|Convention: split packages|Idiom: raw null OK in internal sparse array	not-a-divergence	census artefact	div-bag
sge-ecs	omission	Bag#getCapacity	def getCapacity/0 in emitted port only	not present (skipped or redesigned)	Renames: `com.badlogic.ashley.utils` -> `sge.ecs.utils`|Convention: split packages|Idiom: raw null OK in internal sparse array	not-a-divergence	census artefact	div-bag
sge-ecs	omission	Bag#isEmpty	def isEmpty/0 in emitted port only	not present (skipped or redesigned)	Renames: `com.badlogic.ashley.utils` -> `sge.ecs.utils`|Convention: split packages|Idiom: raw null OK in internal sparse array	not-a-divergence	census artefact	div-bag
sge-ecs	omission	Bag#isIndexWithinBounds	def isIndexWithinBounds/1 in emitted port only	not present (skipped or redesigned)	Renames: `com.badlogic.ashley.utils` -> `sge.ecs.utils`|Convention: split packages|Idiom: raw null OK in internal sparse array	not-a-divergence	census artefact	div-bag
sge-ecs	omission	Bag#newCapacity	val newCapacity/0 in emitted port only	not present (skipped or redesigned)	Renames: `com.badlogic.ashley.utils` -> `sge.ecs.utils`|Convention: split packages|Idiom: raw null OK in internal sparse array	not-a-divergence	census artefact	div-bag
sge-ecs	omission	Bag#oldData	val oldData/0 in emitted port only	not present (skipped or redesigned)	Renames: `com.badlogic.ashley.utils` -> `sge.ecs.utils`|Convention: split packages|Idiom: raw null OK in internal sparse array	not-a-divergence	census artefact	div-bag
sge-ecs	omission	Bag#remove	def remove/1 in emitted port only	not present (skipped or redesigned)	Renames: `com.badlogic.ashley.utils` -> `sge.ecs.utils`|Convention: split packages|Idiom: raw null OK in internal sparse array	not-a-divergence	census artefact	div-bag
sge-ecs	omission	Bag#remove	def remove/1 in emitted port only	not present (skipped or redesigned)	Renames: `com.badlogic.ashley.utils` -> `sge.ecs.utils`|Convention: split packages|Idiom: raw null OK in internal sparse array	not-a-divergence	census artefact	div-bag
sge-ecs	omission	Bag#removeLast	def removeLast/0 in emitted port only	not present (skipped or redesigned)	Renames: `com.badlogic.ashley.utils` -> `sge.ecs.utils`|Convention: split packages|Idiom: raw null OK in internal sparse array	not-a-divergence	census artefact	div-bag
sge-ecs	omission	Bag#set	def set/2 in emitted port only	not present (skipped or redesigned)	Renames: `com.badlogic.ashley.utils` -> `sge.ecs.utils`|Convention: split packages|Idiom: raw null OK in internal sparse array	not-a-divergence	census artefact	div-bag
sge-ecs	omission	Bag#size	def size/0 in emitted port only	not present (skipped or redesigned)	Renames: `com.badlogic.ashley.utils` -> `sge.ecs.utils`|Convention: split packages|Idiom: raw null OK in internal sparse array	not-a-divergence	census artefact	div-bag
sge-ecs	omission	Bag#size$field	var size$field/0 in emitted port only	not present (skipped or redesigned)	Renames: `com.badlogic.ashley.utils` -> `sge.ecs.utils`|Convention: split packages|Idiom: raw null OK in internal sparse array	not-a-divergence	census artefact	div-bag
sge-ecs	omission	ComponentFactories$#create	def create/1 in emitted port only	not present (skipped or redesigned)		justified	(c) library-specific injection (already implemented)	div-componentfactories
sge-ecs	omission	ComponentFactories$#register	def register/2 in emitted port only	not present (skipped or redesigned)		justified	(c) library-specific injection (already implemented)	div-componentfactories
sge-ecs	omission	ComponentOperationHandler$#ComponentOperation	object ComponentOperation/0 in emitted port only	not present (skipped or redesigned)	Renames: `com.badlogic.ashley.core` -> `sge.ecs`|Convention: split packages|Idiom: enum instead of inner enum class|Idiom: ArrayBuffer instead of Array + Pool for operations	justified	(b) inner class reorganization	div-componentophandler
sge-ecs	omission	ComponentOperationHandler$#ComponentOperationPool	object ComponentOperationPool/0 in emitted port only	not present (skipped or redesigned)	Renames: `com.badlogic.ashley.core` -> `sge.ecs`|Convention: split packages|Idiom: enum instead of inner enum class|Idiom: ArrayBuffer instead of Array + Pool for operations	justified	(b) inner class reorganization	div-componentophandler
sge-ecs	omission	ComponentOperationHandler$#entity	var entity/0 in emitted port only	not present (skipped or redesigned)	Renames: `com.badlogic.ashley.core` -> `sge.ecs`|Convention: split packages|Idiom: enum instead of inner enum class|Idiom: ArrayBuffer instead of Array + Pool for operations	justified	(b) inner class reorganization	div-componentophandler
sge-ecs	omission	ComponentOperationHandler$#makeAdd	def makeAdd/1 in emitted port only	not present (skipped or redesigned)	Renames: `com.badlogic.ashley.core` -> `sge.ecs`|Convention: split packages|Idiom: enum instead of inner enum class|Idiom: ArrayBuffer instead of Array + Pool for operations	justified	(b) inner class reorganization	div-componentophandler
sge-ecs	omission	ComponentOperationHandler$#makeRemove	def makeRemove/1 in emitted port only	not present (skipped or redesigned)	Renames: `com.badlogic.ashley.core` -> `sge.ecs`|Convention: split packages|Idiom: enum instead of inner enum class|Idiom: ArrayBuffer instead of Array + Pool for operations	justified	(b) inner class reorganization	div-componentophandler
sge-ecs	omission	ComponentOperationHandler$#newObject	def newObject/0 in emitted port only	not present (skipped or redesigned)	Renames: `com.badlogic.ashley.core` -> `sge.ecs`|Convention: split packages|Idiom: enum instead of inner enum class|Idiom: ArrayBuffer instead of Array + Pool for operations	justified	none: java's private pool is kept (a `private static class` is not surface; PROGRESS §13: java wins on omissions) — the hand port's ArrayBuffer idiom is recorded, not reproduced	divergence-investigator
sge-ecs	omission	ComponentOperationHandler$#reset	def reset/0 in emitted port only	not present (skipped or redesigned)	Renames: `com.badlogic.ashley.core` -> `sge.ecs`|Convention: split packages|Idiom: enum instead of inner enum class|Idiom: ArrayBuffer instead of Array + Pool for operations	justified	(b) inner class reorganization	div-componentophandler
sge-ecs	omission	ComponentOperationHandler$#type	var type/0 in emitted port only	not present (skipped or redesigned)	Renames: `com.badlogic.ashley.core` -> `sge.ecs`|Convention: split packages|Idiom: enum instead of inner enum class|Idiom: ArrayBuffer instead of Array + Pool for operations	justified	(b) inner class reorganization	div-componentophandler
sge-ecs	omission	ComponentOperationHandler$#value	def value/0 in emitted port only	not present (skipped or redesigned)	Renames: `com.badlogic.ashley.core` -> `sge.ecs`|Convention: split packages|Idiom: enum instead of inner enum class|Idiom: ArrayBuffer instead of Array + Pool for operations	justified	(b) inner class reorganization	div-componentophandler
sge-ecs	omission	ComponentOperationHandler$.ComponentOperation$#Type	enum Type/0 in emitted port only	not present (skipped or redesigned)		justified	(b) inner class reorganization	div-componentophandler
sge-ecs	omission	ComponentOperationHandler$.ComponentOperation$.Type#Add	case Add/0 in emitted port only	not present (skipped or redesigned)		justified	(b) inner class reorganization	div-componentophandler
sge-ecs	omission	ComponentOperationHandler$.ComponentOperation$.Type#Remove	case Remove/0 in emitted port only	not present (skipped or redesigned)		justified	(b) inner class reorganization	div-componentophandler
sge-ecs	omission	ComponentPool#clear	def clear/0 in emitted port only	not present (skipped or redesigned)		justified	(c) library-specific injection	div-pooledengine
sge-ecs	omission	ComponentPool#free	def free/1 in emitted port only	not present (skipped or redesigned)		justified	(c) library-specific injection	div-pooledengine
sge-ecs	omission	ComponentPool#getFree	def getFree/0 in emitted port only	not present (skipped or redesigned)		justified	(c) library-specific injection	div-pooledengine
sge-ecs	omission	ComponentPool#obtain	def obtain/0 in emitted port only	not present (skipped or redesigned)		justified	(c) library-specific injection	div-pooledengine
sge-ecs	omission	ComponentType#$prev	val $prev/0 in emitted port only [rename candidates: index]	not present (skipped or redesigned)	Renames: `com.badlogic.ashley.core` -> `sge.ecs`|Convention: split packages|Idiom: mutable.HashMap instead of ObjectMap for Class keys|Idiom: mutable.BitSet instead of Bits	not-a-divergence	census artefact	div-componenttype
sge-ecs	omission	ComponentType#index	def index/0 in emitted port only [rename candidates: hashCode]	not present (skipped or redesigned)	Renames: `com.badlogic.ashley.core` -> `sge.ecs`|Convention: split packages|Idiom: mutable.HashMap instead of ObjectMap for Class keys|Idiom: mutable.BitSet instead of Bits	justified	(b) BeanCollapse idiom phase	div-accessor
sge-ecs	omission	ComponentType#index$field	var index$field/0 in emitted port only	not present (skipped or redesigned)	Renames: `com.badlogic.ashley.core` -> `sge.ecs`|Convention: split packages|Idiom: mutable.HashMap instead of ObjectMap for Class keys|Idiom: mutable.BitSet instead of Bits	open		
sge-ecs	omission	Engine#value	def value/0 in emitted port only [rename candidates: createEntity, getEntities, getSystems, removeAllEntities, removeAllSystems]	not present (skipped or redesigned)	Renames: `com.badlogic.ashley.core` -> `sge.ecs`|Convention: split packages|Idiom: Nullable[A] for createComponent return|Idiom: inner classes replaced by private methods/lambdas|Idiom: ComponentOperationHandler takes () => Boolean (not BooleanInformer trait)|Idiom: Listener[Entity] implemented via anonymous class	not-a-divergence	census artefact	div-engine-companion
sge-ecs	omission	EntityManager$#EntityOperation	object EntityOperation/0 in emitted port only	not present (skipped or redesigned)	Renames: `com.badlogic.ashley.core` -> `sge.ecs`|Convention: split packages|Idiom: ArrayBuffer instead of Array; HashSet instead of ObjectSet|Idiom: sge.utils.Pool trait instead of LibGDX Pool for EntityOperation recycling|Idiom: Nullable[Entity] instead of null for EntityOperation fields	unjustified	none: hand-port defect	div-entitymanager
sge-ecs	omission	EntityManager$#EntityOperationPool	object EntityOperationPool/0 in emitted port only	not present (skipped or redesigned)	Renames: `com.badlogic.ashley.core` -> `sge.ecs`|Convention: split packages|Idiom: ArrayBuffer instead of Array; HashSet instead of ObjectSet|Idiom: sge.utils.Pool trait instead of LibGDX Pool for EntityOperation recycling|Idiom: Nullable[Entity] instead of null for EntityOperation fields	unjustified	none: hand-port defect	div-entitymanager
sge-ecs	omission	EntityManager$#entities	var entities/0 in emitted port only	not present (skipped or redesigned)	Renames: `com.badlogic.ashley.core` -> `sge.ecs`|Convention: split packages|Idiom: ArrayBuffer instead of Array; HashSet instead of ObjectSet|Idiom: sge.utils.Pool trait instead of LibGDX Pool for EntityOperation recycling|Idiom: Nullable[Entity] instead of null for EntityOperation fields	unjustified	none: hand-port defect	div-entitymanager
sge-ecs	omission	EntityManager$#entity	var entity/0 in emitted port only	not present (skipped or redesigned)	Renames: `com.badlogic.ashley.core` -> `sge.ecs`|Convention: split packages|Idiom: ArrayBuffer instead of Array; HashSet instead of ObjectSet|Idiom: sge.utils.Pool trait instead of LibGDX Pool for EntityOperation recycling|Idiom: Nullable[Entity] instead of null for EntityOperation fields	unjustified	none: hand-port defect	div-entitymanager
sge-ecs	omission	EntityManager$#newObject	def newObject/0 in emitted port only	not present (skipped or redesigned)	Renames: `com.badlogic.ashley.core` -> `sge.ecs`|Convention: split packages|Idiom: ArrayBuffer instead of Array; HashSet instead of ObjectSet|Idiom: sge.utils.Pool trait instead of LibGDX Pool for EntityOperation recycling|Idiom: Nullable[Entity] instead of null for EntityOperation fields	not-a-divergence	none: census artefact — owner mismatch	divergence-investigator
sge-ecs	omission	EntityManager$#reset	def reset/0 in emitted port only	not present (skipped or redesigned)	Renames: `com.badlogic.ashley.core` -> `sge.ecs`|Convention: split packages|Idiom: ArrayBuffer instead of Array; HashSet instead of ObjectSet|Idiom: sge.utils.Pool trait instead of LibGDX Pool for EntityOperation recycling|Idiom: Nullable[Entity] instead of null for EntityOperation fields	unjustified	none: hand-port defect	div-entitymanager
sge-ecs	omission	EntityManager$#type	var type/0 in emitted port only	not present (skipped or redesigned)	Renames: `com.badlogic.ashley.core` -> `sge.ecs`|Convention: split packages|Idiom: ArrayBuffer instead of Array; HashSet instead of ObjectSet|Idiom: sge.utils.Pool trait instead of LibGDX Pool for EntityOperation recycling|Idiom: Nullable[Entity] instead of null for EntityOperation fields	unjustified	none: hand-port defect	div-entitymanager
sge-ecs	omission	EntityManager$.EntityOperation$#Type	enum Type/0 in emitted port only	not present (skipped or redesigned)		unjustified	none: hand-port defect	div-entitymanager
sge-ecs	omission	EntityManager$.EntityOperation$.Type#Add	case Add/0 in emitted port only	not present (skipped or redesigned)		unjustified	none: hand-port defect	div-entitymanager
