#id	check	kind	owner	path	line	detail
9d5a899bd855	api-parity(accessor)	accessor	Layout#font	/Layout	0	var font/0 in reference port only
d2de528403fc	api-parity(hand-port-extra)	hand-port-extra	Font#getStrikethroughY	/Font	0	def getStrikethroughY/0 in reference port only [rename candidates: close, debugString, fancyLineX, fancyLineY, getBoldStrength, getBoxDrawingBreadth, getColorLookup, getCrispness, getDescent, getDistanceField, getFamily, getInlineImageStretch, getName, getObliqueStrength, getOutlineStrength, inlineImageOffsetX, inlineImageOffsetY, inlineImageXAdvance, setTextureFilter, strikethroughX, strikethroughY, toString, underlineX, underlineY]
f22da8d8d996	api-parity(hand-port-extra)	hand-port-extra	Font#getUnderlineX	/Font	0	def getUnderlineX/0 in reference port only [rename candidates: close, debugString, fancyLineX, fancyLineY, getBoldStrength, getBoxDrawingBreadth, getColorLookup, getCrispness, getDescent, getDistanceField, getFamily, getInlineImageStretch, getName, getObliqueStrength, getOutlineStrength, inlineImageOffsetX, inlineImageOffsetY, inlineImageXAdvance, setTextureFilter, strikethroughX, strikethroughY, toString, underlineX, underlineY]
a0dcc686f2ab	api-parity(hand-port-extra)	hand-port-extra	Font#getUnderlineY	/Font	0	def getUnderlineY/0 in reference port only [rename candidates: close, debugString, fancyLineX, fancyLineY, getBoldStrength, getBoxDrawingBreadth, getColorLookup, getCrispness, getDescent, getDistanceField, getFamily, getInlineImageStretch, getName, getObliqueStrength, getOutlineStrength, inlineImageOffsetX, inlineImageOffsetY, inlineImageXAdvance, setTextureFilter, strikethroughX, strikethroughY, toString, underlineX, underlineY]
ddc7a0c01800	api-parity(hand-port-extra)	hand-port-extra	Font#inlineImageOffsetX	/Font	0	var inlineImageOffsetX/0 in reference port only [rename candidates: PACKED_BLACK, PACKED_BLUE, PACKED_CONTEXT_COLOR, PACKED_ERROR_COLOR, PACKED_HALO_COLOR, PACKED_NOTE_COLOR, PACKED_RED, PACKED_SHADOW_COLOR, PACKED_SUGGEST_COLOR, PACKED_WARN_COLOR, PACKED_WHITE, PACKED_YELLOW, actualCrispness, boldStrength, boxDrawingBreadth, cellHeight, cellWidth, colorLookup, defaultValue, descent, distanceField, distanceFieldCrispness, enableSquareBrackets, family, fancyX, fancyY, glowStrength, heightAdjust, inlineImageStretch, integerPosition, isMono, kerning, mapping, name, nameLookup, namesByCharCode, obliqueStrength, omitCurlyBraces, originalCellHeight, originalCellWidth, outlineStrength, parents, scaleX, scaleY, shader, sharing, solidBlock, strikeBreadth, strikeLength, strikeX, strikeY, underBreadth, underLength, underX, underY, whiteBlock, widthAdjust, xAdjust, yAdjust]
0d02e7b89f44	api-parity(hand-port-extra)	hand-port-extra	Font#inlineImageOffsetY	/Font	0	var inlineImageOffsetY/0 in reference port only [rename candidates: PACKED_BLACK, PACKED_BLUE, PACKED_CONTEXT_COLOR, PACKED_ERROR_COLOR, PACKED_HALO_COLOR, PACKED_NOTE_COLOR, PACKED_RED, PACKED_SHADOW_COLOR, PACKED_SUGGEST_COLOR, PACKED_WARN_COLOR, PACKED_WHITE, PACKED_YELLOW, actualCrispness, boldStrength, boxDrawingBreadth, cellHeight, cellWidth, colorLookup, defaultValue, descent, distanceField, distanceFieldCrispness, enableSquareBrackets, family, fancyX, fancyY, glowStrength, heightAdjust, inlineImageStretch, integerPosition, isMono, kerning, mapping, name, nameLookup, namesByCharCode, obliqueStrength, omitCurlyBraces, originalCellHeight, originalCellWidth, outlineStrength, parents, scaleX, scaleY, shader, sharing, solidBlock, strikeBreadth, strikeLength, strikeX, strikeY, underBreadth, underLength, underX, underY, whiteBlock, widthAdjust, xAdjust, yAdjust]
f57d356d5938	api-parity(hand-port-extra)	hand-port-extra	Font#inlineImageXAdvance	/Font	0	var inlineImageXAdvance/0 in reference port only [rename candidates: PACKED_BLACK, PACKED_BLUE, PACKED_CONTEXT_COLOR, PACKED_ERROR_COLOR, PACKED_HALO_COLOR, PACKED_NOTE_COLOR, PACKED_RED, PACKED_SHADOW_COLOR, PACKED_SUGGEST_COLOR, PACKED_WARN_COLOR, PACKED_WHITE, PACKED_YELLOW, actualCrispness, boldStrength, boxDrawingBreadth, cellHeight, cellWidth, colorLookup, defaultValue, descent, distanceField, distanceFieldCrispness, enableSquareBrackets, family, fancyX, fancyY, glowStrength, heightAdjust, inlineImageStretch, integerPosition, isMono, kerning, mapping, name, nameLookup, namesByCharCode, obliqueStrength, omitCurlyBraces, originalCellHeight, originalCellWidth, outlineStrength, parents, scaleX, scaleY, shader, sharing, solidBlock, strikeBreadth, strikeLength, strikeX, strikeY, underBreadth, underLength, underX, underY, whiteBlock, widthAdjust, xAdjust, yAdjust]
383f86b0b162	api-parity(hand-port-extra)	hand-port-extra	Font#loadSad	/Font	0	def loadSad/3 in reference port only [rename candidates: drawVertices, fitCell, resizeDistanceField, setInlineImageMetrics]
509fa5d8dcd4	api-parity(hand-port-extra)	hand-port-extra	Font#resizeDistanceField	/Font	0	def resizeDistanceField/4 in reference port only [rename candidates: addAtlas, drawBlocks, drawGlyph, drawGlyphs, drawMarkupText, drawText, setInlineImageMetrics, setLineMetrics, setStrikethroughMetrics, setUnderlineMetrics]
2a3b3904349a	api-parity(hand-port-extra)	hand-port-extra	Font$.TexturelessAtlasRegion#tlHeight	/Font$/TexturelessAtlasRegion	0	var tlHeight/0 in reference port only [rename candidates: height, width, x, y]
b81e9fa7d0cb	api-parity(hand-port-extra)	hand-port-extra	Font$.TexturelessAtlasRegion#tlWidth	/Font$/TexturelessAtlasRegion	0	var tlWidth/0 in reference port only [rename candidates: height, width, x, y]
11707cfc535b	api-parity(hand-port-extra)	hand-port-extra	Font$.TexturelessAtlasRegion#tlX	/Font$/TexturelessAtlasRegion	0	var tlX/0 in reference port only [rename candidates: height, width, x, y]
61ec37dbb7c4	api-parity(hand-port-extra)	hand-port-extra	Font$.TexturelessAtlasRegion#tlY	/Font$/TexturelessAtlasRegion	0	var tlY/0 in reference port only [rename candidates: height, width, x, y]
62c7cf86da36	api-parity(hand-port-extra)	hand-port-extra	Font$.TexturelessRegion#tlHeight	/Font$/TexturelessRegion	0	var tlHeight/0 in reference port only [rename candidates: height, width, x, y]
007a1a0c5281	api-parity(hand-port-extra)	hand-port-extra	Font$.TexturelessRegion#tlWidth	/Font$/TexturelessRegion	0	var tlWidth/0 in reference port only [rename candidates: height, width, x, y]
4c018b89c207	api-parity(hand-port-extra)	hand-port-extra	Font$.TexturelessRegion#tlX	/Font$/TexturelessRegion	0	var tlX/0 in reference port only [rename candidates: height, width, x, y]
025d1872b705	api-parity(hand-port-extra)	hand-port-extra	Font$.TexturelessRegion#tlY	/Font$/TexturelessRegion	0	var tlY/0 in reference port only [rename candidates: height, width, x, y]
76238de14e59	api-parity(hand-port-extra)	hand-port-extra	ImageTextraButton#getFontColor	/ImageTextraButton	0	def getFontColor/0 in reference port only [rename candidates: fontColor, image, imageCell, imageDrawable, label, labelCell, newImage, skipToTheEnd, style, text, toString, updateImage]
4f891f276737	api-parity(hand-port-extra)	hand-port-extra	ImageTextraButton#getImage	/ImageTextraButton	0	def getImage/0 in reference port only [rename candidates: fontColor, image, imageCell, imageDrawable, label, labelCell, newImage, skipToTheEnd, style, text, toString, updateImage]
3a31e1f8f5eb	api-parity(hand-port-extra)	hand-port-extra	ImageTextraButton#getImageCell	/ImageTextraButton	0	def getImageCell/0 in reference port only [rename candidates: fontColor, image, imageCell, imageDrawable, label, labelCell, newImage, skipToTheEnd, style, text, toString, updateImage]
d3ff1f938e40	api-parity(hand-port-extra)	hand-port-extra	ImageTextraButton#getImageDrawable	/ImageTextraButton	0	def getImageDrawable/0 in reference port only [rename candidates: fontColor, image, imageCell, imageDrawable, label, labelCell, newImage, skipToTheEnd, style, text, toString, updateImage]
f358089f7b7a	api-parity(hand-port-extra)	hand-port-extra	ImageTextraButton#getLabel	/ImageTextraButton	0	def getLabel/0 in reference port only [rename candidates: fontColor, image, imageCell, imageDrawable, label, labelCell, newImage, skipToTheEnd, style, text, toString, updateImage]
7cd83589deb9	api-parity(hand-port-extra)	hand-port-extra	ImageTextraButton#getLabelCell	/ImageTextraButton	0	def getLabelCell/0 in reference port only [rename candidates: fontColor, image, imageCell, imageDrawable, label, labelCell, newImage, skipToTheEnd, style, text, toString, updateImage]
75cbae2a90b2	api-parity(hand-port-extra)	hand-port-extra	ImageTextraButton#getStyle	/ImageTextraButton	0	def getStyle/0 in reference port only [rename candidates: fontColor, image, imageCell, imageDrawable, label, labelCell, newImage, skipToTheEnd, style, text, toString, updateImage]
d097491f4412	api-parity(hand-port-extra)	hand-port-extra	ImageTextraButton#getText	/ImageTextraButton	0	def getText/0 in reference port only [rename candidates: fontColor, image, imageCell, imageDrawable, label, labelCell, newImage, skipToTheEnd, style, text, toString, updateImage]
ea011172997f	api-parity(hand-port-extra)	hand-port-extra	ImageTextraButton#isDisabled	/ImageTextraButton	0	def isDisabled/0 in reference port only [rename candidates: fontColor, image, imageCell, imageDrawable, label, labelCell, newImage, skipToTheEnd, style, text, toString, updateImage]
86d043e8c597	api-parity(hand-port-extra)	hand-port-extra	ImageTextraButton#isDisabled_=	/ImageTextraButton	0	def isDisabled_=/1 in reference port only [rename candidates: label_=, setText, style_=]
f00e3b9c1e9e	api-parity(hand-port-extra)	hand-port-extra	ImageTextraButton#setLabel	/ImageTextraButton	0	def setLabel/1 in reference port only [rename candidates: label_=, setText, style_=]
1d441e67917b	api-parity(hand-port-extra)	hand-port-extra	ImageTextraButton#setStyle	/ImageTextraButton	0	def setStyle/1 in reference port only [rename candidates: label_=, setText, style_=]
4968f8c23455	api-parity(hand-port-extra)	hand-port-extra	InternalToken#CLEARCOLOR	/InternalToken	0	case CLEARCOLOR/0 in reference port only
9fb49839455e	api-parity(hand-port-extra)	hand-port-extra	InternalToken#CLEARFONT	/InternalToken	0	case CLEARFONT/0 in reference port only
ea3bd57eca1f	api-parity(hand-port-extra)	hand-port-extra	InternalToken#CLEARSIZE	/InternalToken	0	case CLEARSIZE/0 in reference port only
6dec7b4a2e13	api-parity(hand-port-extra)	hand-port-extra	InternalToken#COLOR	/InternalToken	0	case COLOR/0 in reference port only
b8f95850d4aa	api-parity(hand-port-extra)	hand-port-extra	InternalToken#ENDCOLOR	/InternalToken	0	case ENDCOLOR/0 in reference port only
c009d7fd52d4	api-parity(hand-port-extra)	hand-port-extra	InternalToken#EVENT	/InternalToken	0	case EVENT/0 in reference port only
ba0cfdc8c48b	api-parity(hand-port-extra)	hand-port-extra	InternalToken#FAST	/InternalToken	0	case FAST/0 in reference port only
c8d38b893178	api-parity(hand-port-extra)	hand-port-extra	InternalToken#FASTER	/InternalToken	0	case FASTER/0 in reference port only
afe504f8da7e	api-parity(hand-port-extra)	hand-port-extra	InternalToken#FONT	/InternalToken	0	case FONT/0 in reference port only
0d95decf0914	api-parity(hand-port-extra)	hand-port-extra	InternalToken#IF	/InternalToken	0	case IF/0 in reference port only
d07574147deb	api-parity(hand-port-extra)	hand-port-extra	InternalToken#NATURAL	/InternalToken	0	case NATURAL/0 in reference port only
730630389b56	api-parity(hand-port-extra)	hand-port-extra	InternalToken#NORMAL	/InternalToken	0	case NORMAL/0 in reference port only
4075778f0b6a	api-parity(hand-port-extra)	hand-port-extra	InternalToken#RESET	/InternalToken	0	case RESET/0 in reference port only
653e6a1874db	api-parity(hand-port-extra)	hand-port-extra	InternalToken#SIZE	/InternalToken	0	case SIZE/0 in reference port only
1e4447f4ebc4	api-parity(hand-port-extra)	hand-port-extra	InternalToken#SKIP	/InternalToken	0	case SKIP/0 in reference port only
88f71d255691	api-parity(hand-port-extra)	hand-port-extra	InternalToken#SLOW	/InternalToken	0	case SLOW/0 in reference port only
7ca99de42278	api-parity(hand-port-extra)	hand-port-extra	InternalToken#SLOWER	/InternalToken	0	case SLOWER/0 in reference port only
e3a59a1b45d2	api-parity(hand-port-extra)	hand-port-extra	InternalToken#SPEED	/InternalToken	0	case SPEED/0 in reference port only
fb72159f5989	api-parity(hand-port-extra)	hand-port-extra	InternalToken#STYLE	/InternalToken	0	case STYLE/0 in reference port only
9b4a6dd06b87	api-parity(hand-port-extra)	hand-port-extra	InternalToken#UNDO	/InternalToken	0	case UNDO/0 in reference port only
50bcf262901c	api-parity(hand-port-extra)	hand-port-extra	InternalToken#VAR	/InternalToken	0	case VAR/0 in reference port only
baa6cddb6423	api-parity(hand-port-extra)	hand-port-extra	InternalToken#WAIT	/InternalToken	0	case WAIT/0 in reference port only
ca25a5a3f433	api-parity(hand-port-extra)	hand-port-extra	InternalToken#category	/InternalToken	0	val category/0 in reference port only
557ea1a67656	api-parity(hand-port-extra)	hand-port-extra	InternalToken#toString	/InternalToken	0	def toString/0 in reference port only
9db2ef232ffa	api-parity(hand-port-extra)	hand-port-extra	InternalToken#tokenName	/InternalToken	0	val tokenName/0 in reference port only
6b7926e9ad12	api-parity(hand-port-extra)	hand-port-extra	InternalToken$#fromName	/InternalToken$	0	def fromName/1 in reference port only [rename candidates: valueOf]
f1a037cb37c2	api-parity(hand-port-extra)	hand-port-extra	KnownFonts$#getAssetPrefix	/KnownFonts$	0	def getAssetPrefix/1 in reference port only [rename candidates: getAStarry, getAStarryMSDF, getAStarryTall, getAbyssinicaSIL, getAll, getAllMSDF, getAllSDF, getAllStandard, getAsul, getAubrey, getBirdlandAeroplane, getBitter, getBonheurRoyale, getCanada, getCascadiaMono, getCascadiaMonoMSDF, getCaveat, getChangaOne, getComicMono, getComputerSaysNo, getCordata16x26, getCozette, getCreteRound, getDINish, getDINishCondensed, getDINishCondensedHeavy, getDINishCondensedLight, getDINishExpanded, getDINishExpandedHeavy, getDINishExpandedLight, getDINishHeavy, getDINishLight, getDejaVuSans, getDejaVuSansCondensed, getDejaVuSansMono, getDejaVuSerif, getDejaVuSerifCondensed, getGentium, getGentiumMSDF, getGentiumSDF, getGentiumUnItalic, getGlacialIndifference, getGoNotoUniversal, getGoNotoUniversalSDF, getGrenze, getHanazono, getIBM8x16, getIBM8x16Sad, getInconsolata, getInconsolataMSDF, getIosevka, getIosevkaMSDF, getIosevkaSDF, getIosevkaSlab, getIosevkaSlabMSDF, getIosevkaSlabSDF, getKingthingsFoundation, getKingthingsPetrock, getLanaPixel, getLeagueGothic, getLibertinusSerif, getLibertinusSerifSemibold, getMaShanZheng, getMapleMono, getMonogram, getMonogramFamily, getMonogramItalic, getMoonDance, getMsdfShader, getNowAlt, getNugothic, getOpenSans, getOstrichBlack, getOverlock, getOverlockUnItalic, getOxanium, getPangolin, getProtestRevolution, getQuanPixel, getRobotoCondensed, getSancreek, getSdfOutlineShader, getSdfShader, getSelawik, getSelawikBold, getSourGummy, getSpecialElite, getStandardFamily, getStandardShader, getTangerine, getTangerineSDF, getTillana, getYanoneKaffeesatz, getYanoneKaffeesatzMSDF, getYataghan, getYataghanMSDF, initialize]
14571909488d	api-parity(hand-port-extra)	hand-port-extra	KnownFonts$#getCanada1500	/KnownFonts$	0	def getCanada1500/1 in reference port only [rename candidates: getAStarry, getAStarryMSDF, getAStarryTall, getAbyssinicaSIL, getAll, getAllMSDF, getAllSDF, getAllStandard, getAsul, getAubrey, getBirdlandAeroplane, getBitter, getBonheurRoyale, getCanada, getCascadiaMono, getCascadiaMonoMSDF, getCaveat, getChangaOne, getComicMono, getComputerSaysNo, getCordata16x26, getCozette, getCreteRound, getDINish, getDINishCondensed, getDINishCondensedHeavy, getDINishCondensedLight, getDINishExpanded, getDINishExpandedHeavy, getDINishExpandedLight, getDINishHeavy, getDINishLight, getDejaVuSans, getDejaVuSansCondensed, getDejaVuSansMono, getDejaVuSerif, getDejaVuSerifCondensed, getGentium, getGentiumMSDF, getGentiumSDF, getGentiumUnItalic, getGlacialIndifference, getGoNotoUniversal, getGoNotoUniversalSDF, getGrenze, getHanazono, getIBM8x16, getIBM8x16Sad, getInconsolata, getInconsolataMSDF, getIosevka, getIosevkaMSDF, getIosevkaSDF, getIosevkaSlab, getIosevkaSlabMSDF, getIosevkaSlabSDF, getKingthingsFoundation, getKingthingsPetrock, getLanaPixel, getLeagueGothic, getLibertinusSerif, getLibertinusSerifSemibold, getMaShanZheng, getMapleMono, getMonogram, getMonogramFamily, getMonogramItalic, getMoonDance, getMsdfShader, getNowAlt, getNugothic, getOpenSans, getOstrichBlack, getOverlock, getOverlockUnItalic, getOxanium, getPangolin, getProtestRevolution, getQuanPixel, getRobotoCondensed, getSancreek, getSdfOutlineShader, getSdfShader, getSelawik, getSelawikBold, getSourGummy, getSpecialElite, getStandardFamily, getStandardShader, getTangerine, getTangerineSDF, getTillana, getYanoneKaffeesatz, getYanoneKaffeesatzMSDF, getYataghan, getYataghanMSDF, initialize]
b64633267848	api-parity(hand-port-extra)	hand-port-extra	KnownFonts$#getCanada1500	/KnownFonts$	0	def getCanada1500/2 in reference port only [rename candidates: addEmoji, addGameIcons, addMaterialDesignIcons, addNotoEmoji, getAStarry, getAStarryTall, getAbyssinicaSIL, getAsul, getAubrey, getBirdlandAeroplane, getBitmapFont, getBitter, getBonheurRoyale, getCanada, getCascadiaMono, getCaveat, getChangaOne, getComicMono, getComputerSaysNo, getCreteRound, getDINish, getDINishCondensed, getDINishCondensedHeavy, getDINishCondensedLight, getDINishExpanded, getDINishExpandedHeavy, getDINishExpandedLight, getDINishHeavy, getDINishLight, getDejaVuSans, getDejaVuSansCondensed, getDejaVuSansMono, getDejaVuSerif, getDejaVuSerifCondensed, getFamily, getFont, getGentium, getGentiumUnItalic, getGlacialIndifference, getGoNotoUniversal, getGrenze, getInconsolata, getIosevka, getIosevkaSlab, getKingthingsFoundation, getKingthingsPetrock, getLeagueGothic, getLibertinusSerif, getLibertinusSerifSemibold, getMaShanZheng, getMapleMono, getMoonDance, getNowAlt, getNugothic, getOpenSans, getOstrichBlack, getOverlock, getOverlockUnItalic, getOxanium, getPangolin, getProtestRevolution, getRobotoCondensed, getSancreek, getSelawik, getSelawikBold, getSourGummy, getSpecialElite, getTangerine, getTillana, getYanoneKaffeesatz, getYataghan, setAssetPrefix]
